User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Saif,https://yt3.ggpht.com/ytc/AGIKgqPZMqmIY0YCnoxrbbl4IydK8HriT1qBfsBZtLPG0w=s48-c-k-c0x00ffffff-no-rj,1 year ago (edited),11,Please also interview someone who is in the field of Artificial intelligence. What's it's scope in Pakistan and how a fresher can pursue AI
Rizz Rullzz,https://yt3.ggpht.com/ytc/AGIKgqMoD1n3z6KsA_OmHW47thhknlik1ry0TcGI5ogJNg=s48-c-k-c0x00ffffff-no-rj,1 year ago,2,"Ma sha Allah Another masterpeice , ️️, Now waiting for More Roadmaps In Different Software Eng Fields , Like Cyber security , Machine Learning etc️"
Diwan Muhammad Ali,https://yt3.ggpht.com/ytc/AGIKgqOASqlqt_cWjTAk2aylAyHAQpYffmMWEORBWC7s2Q=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Brother please tell me I've completed my IT and can i go for software engineer interview or related field in software engineering or I've to choose another domain for this or can i go for software engineer jobs with the right knowledge about the basic development knowledge?
data academy,https://yt3.ggpht.com/ipGz14CeUQbpznb0WVg16QjVglwD810aPseduxNMtaCJIX3jlg3Qop6joDQf2UmVkKq6OxNVXA=s48-c-k-c0x00ffffff-no-rj,1 year ago,11,Ehmad Bahi How to improve communication skills + How to prepare for arbisoft internship test ?
Pervaiz Para,,1 year ago,1,Well done  great efforts great initiatives and finally great achievements. God bless you ️.
thrival man,,1 year ago,0,Emad kindly add time stamps in your videos if possible
Ahmed Aleem,,1 year ago,1,Please invite someone from the blockchain development side also.
Naveed Amjad,,1 year ago,0,Thank you for an informative session.
raahimz,,1 year ago,0,Pakistan me koi self taught young (so much so as 16) developers ka scope hai?
Honor8 Mobile,,5 months ago,0,react native me kiya ek hi language use hoti hai javascript no front-end languages required?
Aizaz Haider,,1 year ago,0,project/product management pr b ek episode hojaye
Wasib Ilyas,,1 year ago,8,"Zubair bhai.. Data Science walay kisi ko b lay kar ayay. + Aap kisi uber, careem, daraz, etc , product based companies k engineers say b podcast karay. Takay humay aur acha view mil sakay 
Thanks.
Wasib Ilyas 
UET Grad."
Zulqarnain Awan,,1 year ago,0,"AoA sir. Sir main software engineering ka 4th-semester ka student ho. Kindly ap mujhe ye bata skte hai k main  abhi internship kis chez main start karo?
Kindly, it's a humble request."
Sachal Khalid,,1 year ago,0,Very informative. Keep it up.
Ali Ahmed Khan,,1 year ago,0,Thanks Ehmad Bhai for coming back to YouTube
FaiqImran,,1 year ago,0,Make a video on scope of data science
Numan Ghani,https://yt3.ggpht.com/ytc/AGIKgqO0yVI5-sVND20DDCO3acCZZlcBaOxEBhKRscRVtg=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Masha Allah it's  a very informative video 
Adeen Ahmad Zia,https://yt3.ggpht.com/ytc/AGIKgqMnCvskKzCH3lsAsFh-fD20kZj3U2Ztr765J7gPyw=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Love u brother may allah bless u and ur family️️
A I.,https://yt3.ggpht.com/HRwx2HMgrydzIoJKWUU4fAf69WXq51t9ca059rXvSjGT5KteMCPYFlenvbRMu75RDONtiNBV0Q=s48-c-k-c0x00ffffff-no-rj,1 year ago (edited),4,"With all due respect everyone in Pakistan say university doesn't matter, but in every podcast Emmad bhai mentions, agar candidate etc etc university say ata hay to hum mind mein sooch letay hein wo aisa ho ga, don't you think it's time that we should all accept university privilege is very real and it matters in big companies.  Hmein new bachon ko jo admission lay rahay hein yeh nahi kehna Chahye university doesn't matter, if you have the thing you can make it too, yes you can too but  then you've to sacrifice 3x in all fields in order to compete with top uni graduates"
Muhammad Awais,https://yt3.ggpht.com/ytc/AGIKgqNFJ9WSC_RlwKfIB7Siz_pD1L_XrMHfEyiKQeEiVg=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Very Informative!
Muhammad Masab,https://yt3.ggpht.com/ytc/AGIKgqNTx05T3264-1VvlF8czqhZH9bPw5oLPTZa_g=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Well done sir 
Muhammad Shahbaz,https://yt3.ggpht.com/ytc/AGIKgqMiKOpn06i2-t14UW1GDd_e8lY7h0kkyaceASnhtw=s48-c-k-c0x00ffffff-no-rj,10 months ago,0,Bro digital Marketing par vedio bna dyin
syed moin uddin,https://yt3.ggpht.com/ytc/AGIKgqM-jmW7R0cwwGtk4y8hi_yw7IgZdOeYr61r4A=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,How to start software company plz make video on it
Kamlesh Kumar,https://yt3.ggpht.com/ytc/AGIKgqMbppXbvCU-H0OWrU9YzoNimfjqlcJ1JmVmfcbt=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Loved the session.
Azeem,https://yt3.ggpht.com/HkFy0ar-PdlR9Gm0tKxLcaXpQzoBVkDaDxOpvaCs_09dcR5MswSRQJZ_I9DQBgQzoB-ao7RQZw=s48-c-k-c0x00ffffff-no-rj,4 months ago,0,"Bhai i have graduates in 2019 but i have to learned skills in Mobile Application in IOS & Android....
i have little Experience in Mobile Application"
Naveed Amjad,,1 year ago,0,Proud to be a PUCITIAN ️
Syed Basit Raza,,1 year ago (edited),0,Really helpful video 
Shah Arbaz,,1 year ago,0,The great man great communication
Sarfraz Shah,,1 year ago,0,Maza aya 
Shozib Rehman,,10 months ago,1,I'm also a PUCIT || FCIT student 
Azeem,,4 months ago,0,but i have to unemployeed for 3 years
talib farooq,,1 year ago,0,Great 
Muhammad Anas,,1 year ago,1,Assalamualaikum @Ehmad Bhai
Rizz Rullzz,https://yt3.ggpht.com/ytc/AGIKgqMoD1n3z6KsA_OmHW47thhknlik1ry0TcGI5ogJNg=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,️️️
Munib Rauf,https://yt3.ggpht.com/ytc/AGIKgqMzqothXIwUZa3vLCnrzX8smiWBCXQAlFIc3A=s48-c-k-c0x00ffffff-no-rj,1 year ago,2,SAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAMMMMMMMEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Talha Khubaib Talha khubaib,https://yt3.ggpht.com/ytc/AGIKgqN6T28jpYOPh8UxiJIRFdyKDDPinndvnppKJ59Ohg=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Dev mean.....?
Talha Khubaib Talha khubaib,https://yt3.ggpht.com/ytc/AGIKgqN6T28jpYOPh8UxiJIRFdyKDDPinndvnppKJ59Ohg=s48-c-k-c0x00ffffff-no-rj,1 year ago,3,Brother ap sa ik advice Lani the flutter final year project idea koi dy dain
ExileD,https://yt3.ggpht.com/ytc/AGIKgqNy2aQgHK3k_FDDSdd6Qt85JHIY-EdmIcwGVdSVYQ=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,sama <3
